	1	2	3	4	5	6
1367530_at	8.10888743573358	8.18110428171666	8.24008717488955	8.08178919856745	8.20648627876117	8.19148856150712
1367531_at	8.88670555135911	9.15656330081084	8.92784688141938	8.17388983395068	8.62762136249636	8.42699122517956
1367532_at	7.83622930424292	7.83298801465532	7.65906533863745	7.1114970149703	7.522109331561	7.23641226639091
1367533_at	7.33738863004336	7.30182981544807	7.18843541900367	7.07985077218569	7.00261534884726	6.70630165163879
1367534_at	6.76673969080252	6.67009963931986	6.88617487955925	6.74692677883635	7.01390187645784	6.82150033278679
1367535_at	7.97448234078377	8.06442943035243	8.02958660476575	7.94330027977883	7.98569544166772	8.02652100985565
1367536_at	6.17720913348545	5.99394273596192	5.97896675485757	6.05382357361373	5.96567395150108	6.12676226640003
1367537_at	5.64264338040638	5.76051894574167	5.88778215944557	5.86908911914469	5.82156195937849	5.52808931459872
1367538_at	5.90319581895488	6.22149556916998	5.89326847492561	5.80127676157678	5.95198592045986	5.35263232863414
1367539_at	5.76960288182287	6.1250938414794	5.71710588890369	5.4816610668691	5.53691046080556	5.55065015629535
1367540_at	4.70750477887442	4.67153274468094	4.65784879554555	4.70174204486257	4.75544677578547	4.71943173957716
1367541_at	5.2736808941449	5.1502163457639	4.99502319240017	4.46075311899938	4.92839922717897	4.85653854008277
1367542_at	6.22696357072735	6.28043573275269	6.278065961403	6.25693754627765	6.32813134790848	6.25930731762734
1367543_at	7.42551910655019	7.4398828533203	7.33891236644146	7.14935885847065	7.1528940490283	6.91592793581256
1367544_at	3.91250307382629	3.92815541800547	3.87313476302591	3.82383443134656	4.00211041289126	3.86471457468719
1367545_at	4.84021450883487	4.88322806901197	4.94687331898544	4.83199875190141	5.08946648886264	4.94350698136692
1367546_at	8.2587004473349	8.15855885506748	8.09280561125049	7.44444655256522	7.66416120255862	7.31843185021004
1367547_at	6.19750141934613	6.23343650508066	6.47130650314919	6.43381839797452	6.81862247656841	6.21691226920171
1367548_at	7.74022389380919	7.55931724557642	7.67570631193555	7.54108282473293	7.68002989411797	7.58787864257616
1367549_a_at	9.05245076345971	9.15368961159071	8.99425400839496	8.06363228479656	8.69330343371674	8.56711704305017
1367550_a_at	4.42994589178009	4.2369098892451	4.3091305561724	4.00464118447152	4.28729809813395	4.46609985578443
1367551_a_at	5.54370972489328	5.42222926200111	5.24906743782987	5.09526443960436	5.53240941092683	5.07692644132993
1367552_at	5.04326133552811	4.96267274307167	5.00593767771538	5.0703516004932	5.17044925118713	5.11395056204348
1367553_x_at	10.2892963559622	10.1280481847384	10.5925805855421	10.5583393267265	11.3931973335221	11.1626884653889
1367554_at	4.0481760924454	4.08552215674528	4.08929871948362	4.27073431987659	3.98665860883899	4.12475171740715
1367555_at	7.02218669578567	7.12182297399664	7.05571557390299	7.21369662800476	7.03905728810733	6.67988098587758
1367556_s_at	5.5560963798482	5.81616203899747	5.65732588694467	5.50489214866533	5.69956504905315	5.43233399710781
1367557_s_at	7.96840053637728	7.95518777849955	8.05618381781232	7.91879630063594	8.25580444767949	8.0510694388273
1367558_x_at	3.55239424441956	3.52965762865281	3.49050578042209	3.48495760512098	3.50952309968587	3.51468410250288
1367559_at	10.5498280825631	10.6938104471998	10.4619896468174	10.4209584144827	10.8987616584152	10.4315545254035
1367560_at	11.42476908183	11.5410439148375	11.4112305444914	11.2098514103387	11.4505294133173	11.0974391360245
1367561_at	10.9700410964812	10.9930088652092	10.8889144085935	10.6662668525637	11.1827900093308	10.9470232633167
1367562_at	7.47426727205156	7.30080133481697	7.80092423772923	6.90132177696107	7.212865390014	7.28855085435054
1367563_at	8.06752047299297	7.9977706019688	8.22425726980974	8.06906625365739	8.1012829216339	8.05754272544076
